pH,Protein,pkapp,Enaught_pH_0,Enaught'(Y32 Odot/O-),eq2_235,eq2_236,eq2_Y,236-Y_eq2,235-Y_eq2
0,"3,5",8,1.346,0.901,1.4090400015263,1.51003000030454,1.37276000000012,0.137270000304417,0.0362800015261786
0.5,Y,11.3,1.372,0.749,1.38119000482658,1.48218000096303,1.34516000000038,0.137020000962649,0.0360300048261994
1,"2,3,5",7.2,1.412,1.008,1.35334001526298,1.45433000304537,1.3175600000012,0.136770003044164,0.0357800152617798
2,"2,3",8.6,1.447,0.965,1.29764015262938,1.39863003045364,1.26236000001202,0.136270030441627,0.0352801526173638
3,"2,3,6",7.9,1.509,1.07,1.24194152625045,1.34293030453469,1.20716000012015,0.135770304414542,0.0347815261303028
3.5,,,,,1.21409482609852,1.31508096301014,1.17956000037995,0.135520962630197,0.0345348257185745
4,,,,,1.1862552581729,1.2872330451744,1.1519600012015,0.135273043972905,0.0342952569714003
5,,,,,1.13069215036146,1.23156043450745,1.09676001201499,0.134800422492466,0.0339321383464699
6,,,,,1.0763200813207,1.17613263560206,1.04156012014959,0.134572515452465,0.0347599611711109
6.5,,,,,1.05139084305565,1.14892435391287,1.01396037994431,0.134963973968558,0.0374304631113358
7,,,,,1.03097305297564,1.12299837967081,0.986361201468824,0.136637178201981,0.0446118515068206
7.5,,,,,1.01782742183771,1.10038660379519,0.958763799172175,0.141622804623013,0.0590636226655377
8,,,,,1.01155878630179,1.08414233533114,0.931172011979444,0.152970323351699,0.0803867743223422
8.2,,,,,1.01030557256331,1.07982742183771,0.920139034915793,0.15968838692192,0.0901665376475205
9,,,,,1.008380382447,1.07184899603336,0.876079849807461,0.195769146225895,0.132300532639543
10,,,,,1.00803830853803,1.07019139047767,0.821932359785667,0.248259030692005,0.186105948752367
11,,,,,1.00800383358497,1.07001920733351,0.775299204406494,0.294720002927014,0.232704629178472
12,,,,,1.00800038338584,1.07000192141979,0.753361338180822,0.316640583238964,0.254639045205015
13,,,,,1.00800003833886,1.07000019214885,0.749473615957498,0.320526576191349,0.258526422381359
14,,,,,1.00800000383389,1.07000001921495,0.74904778487817,0.320952234336783,0.258952218955718
