species_idx,species_names,initial_counts,counts_max,reaction,reaction_idx,rate_constants,species,,stoich,,n_reactants
0,Y122_dot,0,1.00E+04,Y356_DOT -> Y122_DOT,0,0.000000001,1,0,-1,1,1
1,Y356_dot,0,1.00E+04,Y122_DOT -> Y356_DOT,1,0.000000001,0,1,-1,1,1
2,Y731_dot,0,1.00E+04,Y731_DOT -> Y356_DOT,2,4300,2,1,-1,1,1
3,Y730_dot,0,1.00E+04,Y356_DOT -> Y731_DOT,3,43000,1,2,-1,1,1
4,C439_dot,0,1.00E+04,Y730_DOT -> Y731_DOT,4,3050,3,2,-1,1,1
5,Re*,1.00E+04,1.00E+04,Y731_DOT -> Y730_DOT,5,2600000000,2,3,-1,1,1
6,Sink,0,1.00E+04,Y356_DOT -> SINK,6,20000,1,6,-1,1,1
,,,,C439_DOT -> Y730_DOT,7,5.30E-07,4,3,-1,1,1
,,,,Y730_DOT -> C439_DOT,8,120,3,4,-1,1,1
,,,,Y356_DOT -> Re*,9,0.000000001,1,5,-1,1,1
,,,,Re* -> Y356_DOT,10,442413.391,5,1,-1,1,1
,,,,Sink -> Y356_DOT,11,0.000000001,6,1,-1,1,1
